Word,Frequency
музейный,10443
всероссийский,8656
исторический,6880
интересный,6683
культурный,6452
международный,6404
новый,5472
краеведческий,4787
музыкальный,4760
художественный,4753
русский,4698
детский,4645
творческий,4614
выставочный,4472
интерактивный,4213
ежегодный,4174
первый,3968
свободный,3920
нижегородский,3528
народный,3503
самарский,3405
научный,3259
национальный,3227
городской,3209
главный,3142
советский,3092
бесплатный,3030
государственный,2781
разный,2643
тематический,2578
саратовский,2521
важный,2467
уникальный,2417
областной,2363
традиционный,2278
историко,2234
пушкинский,2203
предварительный,2174
современный,2083
великий,2003
нижний,1952
открытый,1904
официальный,1904
большой,1826
известный,1791
семейный,1791
специальный,1742
больший,1721
авторский,1715
литературный,1704
основный,1690
старинный,1619
хороший,1616
театральный,1608
различный,1550
мемориальный,1525
казанский,1519
картинный,1494
пензенский,1491
единый,1467
живой,1452
российский,1451
полный,1432
увлекательный,1414
изобразительный,1397
ночной,1356
концертный,1355
отечественный,1337
прошлый,1321
18:00,1302
необычный,1287
доступный,1283
военный,1252
центральный,1232
юный,1209
подробный,1202
праздничный,1189
яркий,1183
профессиональный,1182
игровой,1181
уверена,1113
муниципальный,1111
космический,1089
вечерний,1052
необходимый,1049
ульяновский,1040
образовательный,1037
входной,1035
театрализованный,1005
познавательный,983
насыщенный,980
дорогой,968
взрослый,963
прикладной,957
пешеходный,951
прекрасный,949
второй,948
декоративный,917
социальный,904
обзорный,885
томский,884
молодёжный,874
масштабный,869
оренбургский,867
общий,847
летний,843
19:00,838
постоянный,836
московский,832
удивительный,828
старый,813
маленький,805
близкий,801
последний,800
любимый,797
древний,791
виртуальный,788
архитектурный,788
региональный,776
самые,775
документальный,759
17:00,754
особый,743
вятский,733
информационный,731
молодой,729
классический,729
федеральный,726
весёлый,726
духовный,721
возможный,715
знаменитый,710
возрастной,710
танцевальный,709
чувашский,706
деревянный,704
боевой,704
этнографический,697
готовый,696
технический,691
частный,690
добрый,688
республиканский,676
разнообразный,666
третьяковский,666
внутренний,664
экскурсионный,658
губернаторский,658
белый,648
световой,643
уличный,641
популярный,637
башкирский,632
ведущий,628
родный,626
торжественный,626
волшебный,621
красивый,606
книжный,588
марий,583
школьный,582
огромный,581
настольный,580
отличный,572
общественный,565
кировский,558
приятный,551
интеллектуальный,551
высокий,551
генеральный,544
развлекательный,543
районный,542
малый,538
отдельный,536
модельный,535
вокальный,533
мировой,529
сувенирный,528
следующий,526
удмуртский,522
обязательный,517
весенний,514
целый,512
просветительский,510
автобусный,508
активный,507
20:00,503
сельский,502
личный,499
глиняный,496
военно,492
поэтический,490
персональный,488
18:30,485
небольшой,483
мультимедийный,479
оригинальный,475
самым,471
татарский,465
красный,463
хлебный,462
памятный,461
морской,459
льготный,458
тёплый,451
мастерский,450
редкий,448
старший,448
мордовский,448
электронный,446
16:00,443
драматический,440
волжский,439
прямой,439
выдающийся,437
местный,436
славянский,430
крупный,428
ленинский,426
библиотечный,422
замечательный,421
первомайский,420
простой,419
золотой,417
купеческий,415
хоровой,414
патриотический,413
третий,411
сарапульский,411
единственный,410
учебный,406
средневековый,400
трудовой,398
собственный,397
дополнительный,396
благотворительный,394
гастрономический,394
фольклорный,392
заслуженного,391
городецкий,389
камерный,387
15:00,387
рад,380
модный,380
духовой,373
уфимский,368
21:00,368
научно,367
спортивный,362
обычный,359
железный,356
живописный,354
нравственный,347
выходной,347
всемирный,347
эксклюзивный,344
мистический,342
палеонтологический,341
крестьянский,338
ленинградский,338
счастливый,334
вкусный,334
тольяттинский,331
гончарный,330
струковском,330
далёкий,328
талантливый,320
очередной,319
полезный,319
человеческий,319
женский,317
обширный,317
джазовый,316
южный,315
поздний,314
широкий,313
академический,313
дневный,311
природный,310
серебряный,309
богатый,308
сегодняшний,308
зелёный,308
реальный,307
тайный,305
святой,301
студенческий,297
марийский,294
креативный,293
заповедный,292
легендарный,289
незабываемый,289
классный,287
ценный,287
таинственный,286
северный,285
чайный,285
акварельный,284
покровский,283
платный,282
гагариных,282
радищевский,281
кураторский,281
воздушный,281
массовый,279
кремлёвский,279
средний,278
набережный,277
печатный,274
струнный,272
зарубежный,271
бумажный,270
песочный,269
невероятный,265
эмоциональный,264
оперный,264
заслуженный,264
неизвестный,263
весомый,262
созвучный,262
привычный,260
железнодорожный,257
реставрационный,257
комфортный,257
цифровой,256
11:00,256
елабужский,255
шахматный,255
сказочный,254
петровский,254
почётный,252
тёмный,252
спасский,252
пионерский,248
смотровой,247
актуальный,244
воскресенский,244
сибирский,244
ботанический,243
субботний,241
звёздный,238
вечный,237
ижевский,237
майский,237
юбилейный,237
туристический,236
педагогический,236
12:00,236
кукольный,236
октябрьский,236
тактильный,235
пожарный,233
рабочий,232
калининградский,231
гипсовый,230
сложный,229
самостоятельный,229
дымковский,228
ручной,227
иностранный,226
мужской,226
лёгкий,224
подвижный,224
меновой,223
уютный,222
временной,222
солнечный,222
19:30,220
будущий,219
командный,219
огненный,218
музейно,218
публичный,216
инструментальный,215
долгий,212
мобильный,212
пригласительный,212
поисковый,210
подлинный,209
археологический,209
дальнейший,206
французский,206
положительный,206
многодетный,206
западноевропейский,206
невский,205
экспозиционный,205
медицинский,204
22:00,204
графический,203
23:00,203
дворянский,202
совместный,201
никольский,200
дореволюционный,200
особенный,199
западный,198
речной,197
долгожданный,197
президентский,197
чёрный,196
случайный,196
значимый,196
многочисленный,195
объёмный,194
13:00,193
показательный,192
горьковский,191
юношеский,191
бытовой,190
стеклянный,190
резидентский,189
стрелковый,189
чистопольский,189
невозможный,187
европейский,187
брянский,186
дальний,186
коллективный,185
солдатский,184
короткий,183
орский,182
б.покровская,181
демонстрационный,181
групповой,180
немой,180
крутой,179
лесной,179
дзержинский,178
бывший,177
ильинский,177
географический,175
свежий,173
домашний,173
методический,173
чудесный,172
занимательный,172
физический,172
салонный,172
трогательный,171
горячий,171
фондовый,168
основной,167
присутственный,167
загадочный,166
письменный,166
кофейный,166
неповторимый,164
калмыцкий,164
дорожный,163
костюмированный,163
хореографический,163
здоровый,162
православный,162
глубокий,162
этно,162
младший,160
индивидуальный,160
цветной,159
анимационный,159
мариинский,159
примечательный,158
правый,158
душевный,158
керамический,157
граммофонный,157
тяжёлый,156
знакомый,156
любопытный,155
волонтёрский,154
нулевой,154
иммерсивная,152
приволжский,150
определённый,150
благодарный,149
слепой,148
жизненный,146
магический,145
неожиданный,145
посторонний,145
знаковый,144
ивановский,144
экологический,143
почтовый,143
восточный,143
архивный,142
равнодушный,142
стеклодувный,142
ключевой,141
минувший,141
общероссийский,141
экспериментальный,140
естественный,140
троллейбусный,140
комсомольский,140
бальный,139
сладкий,139
20:30,139
передвижной,137
фронтовой,137
индийский,137
бородинское,137
внешний,136
плохой,136
кафедральный,136
холодный,136
тихий,136
лазерный,135
исламский,134
инженерный,133
императорский,133
универсальный,133
экономический,132
удобный,132
актёрский,132
метеорологический,132
романтический,130
14:00,130
преображенский,129
верхневолжский,128
страшный,127
бессмертный,127
умный,127
немецкий,126
самую,126
60-й,126
разноплановый,126
поволжский,125
мокрый,125
мультипликационный,125
перформативный,125
светский,124
звуковой,124
равный,124
воинский,124
симфонический,123
исследовательский,123
водный,123
централизованный,123
интуитивный,123
изящный,122
ароматный,122
головной,121
выездной,121
балтийский,121
соборный,120
фантастический,120
свето,120
островский,120
10:00,119
материальный,119
шерстяной,119
студёный,119
канавинского,119
сольный,118
галактионовский,118
нынешний,117
любознательный,117
синий,117
древнерусский,117
80-й,116
духов,115
значительный,115
персидский,115
великолепный,114
атмосферный,114
царский,114
трудный,113
просветительный,113
итальянский,112
психологический,112
трёхмерный,112
инклюзивный,111
добровольческий,111
предыдущий,111
аленький,111
сухой,111
маскировочный,110
сумеречный,110
культурно,110
лунный,109
большеболдинский,108
локальный,108
практический,107
знаменательный,107
белорецкий,107
анатомический,106
ушковская,106
обыкновенный,106
торговый,105
чапаевский,105
кладовой,105
мощный,104
куйбышевский,104
раритетный,104
коммунистический,104
саровский,103
каменный,102
корпоративный,102
левый,102
пятый,102
швейный,102
сюжетный,102
симбирской,102
погодный,102
незрячий,102
зимний,101
вольский,101
красочный,101
промышленный,101
дружеский,101
дошкольный,101
ирландский,101
мудрый,101
усадебный,100
специализированный,100
саранский,100
расположен,100
чкаловский,100
текстильный,100
колонный,100
