Word,Frequency
пройти,15243
смочь,5704
ждать,5553
посетить,5125
посвятить,4994
приглашать,4774
принять,4753
состояться,4468
работать,4301
провести,4078
желать,3582
рассказать,3530
проходить,3289
открыть,3284
представить,3167
подготовить,3139
приурочить,2523
присоединиться,2374
увидеть,2294
найти,2255
получить,2223
сделать,2217
организовать,2130
отмечаться,2121
узнать,2028
готовить,1846
познакомиться,1831
узнавать,1740
следить,1679
сказать,1569
посмотреть,1487
создать,1477
купить,1400
показать,1373
начаться,1366
продлить,1328
проводить,1319
рассказывать,1247
отметить,1228
превратиться,1221
предлагать,1213
участвовать,1172
знать,1124
стартовать,1100
действовать,1075
являться,1046
проводиться,1039
выступить,1034
ночьмузеев2023,1032
смотреть,995
принимать,965
появиться,963
побывать,943
делать,934
запланировать,930
приобрести,910
начать,886
открыться,866
выбрать,853
собрать,850
сообщить,808
поделиться,805
говорить,803
ознакомиться,795
прийти,788
ходить,780
попасть,774
любить,774
поучаствовать,773
отмечать,772
читать,761
открывать,759
идти,756
помочь,750
связать,741
напомнить,712
предложить,712
оставить,705
сообщать,702
жить,690
пойти,672
благодарить,666
давать,657
представлять,641
рисовать,632
ожидать,628
познакомить,615
написать,613
завершиться,601
играть,600
приходить,593
показывать,591
присоединяться,580
остаться,577
видеть,568
решить,561
попробовать,548
отправиться,547
звучать,537
объявить,537
раскрыть,536
послушать,535
сходить,531
посещать,525
создавать,523
ограничить,523
стоить,522
объединить,496
услышать,491
передать,488
начинать,486
совершить,474
планировать,474
окунуться,472
делиться,468
прозвучать,467
подарить,456
требоваться,453
включать,450
записаться,445
исполнить,441
приходите,440
разместить,438
вспомнить,437
позволить,432
разыгрывать,422
оказаться,419
закрыть,414
подписаться,405
поставить,403
успеть,402
выполнить,400
вести,393
осмотреть,393
поддержать,390
писать,387
пригласить,386
пропустить,383
подвести,377
обратить,376
научиться,373
храниться,373
приготовить,372
использовать,371
научить,366
хотеться,359
выступать,358
предоставить,353
собирать,352
заниматься,347
запустить,346
встретить,344
начинаться,344
выбирать,340
проверить,340
понравиться,340
напоминать,338
предстоять,336
дать,334
становиться,333
помогать,332
продемонстрировать,331
опубликовать,331
направить,329
происходить,327
привлечь,326
получать,326
служить,326
установить,324
завершить,316
вернуться,313
управлять,311
войти,310
погрузиться,310
получиться,302
входить,300
забыть,300
собраться,297
пользоваться,295
продлиться,294
выйти,294
выходить,290
ответить,290
проявить,287
взять,286
устроить,284
объединять,282
позволять,282
надеяться,277
готовиться,274
поддерживать,273
сохранять,270
ожить,268
учиться,267
слушать,266
подрастать,265
встречать,263
изготовить,263
приехать,262
встречаться,262
располагаться,262
уходить,260
поздравлять,260
называть,260
удаться,260
думать,256
рассчитать,255
продолжать,254
состоять,253
занять,253
зарегистрироваться,253
родиться,252
наполнить,249
начнётся,249
насладиться,246
построить,245
ждём,244
составлять,243
подписать,241
рекомендовать,240
обрести,234
разработать,232
нравиться,232
считать,231
составить,231
сохранить,227
сыграть,225
изучать,223
оценить,221
хранить,220
прогуляться,219
продолжаться,219
поиграть,219
добавить,217
присутствовать,216
включить,216
обновить,214
пожаловать,213
назвать,212
заглянуть,211
выражать,210
сфотографироваться,210
воссоздать,208
продолжить,207
петь,206
знакомиться,205
закончиться,204
обращать,204
бывать,202
прикоснуться,202
подписываться,200
заказать,199
основать,199
уйти,196
понять,196
обещать,193
запечатлеть,192
внести,192
занимать,191
просить,191
вырасти,190
встретиться,189
почувствовать,189
исполнять,189
вызвать,188
значить,187
мечтать,184
танцевать,184
разгадать,184
собираться,183
демонстрировать,183
знакомить,182
помнить,182
называться,181
принадлежать,179
полюбоваться,179
запускать,178
относиться,178
интересоваться,178
опросить,178
обучаться,177
вспоминать,172
украсить,172
оставаться,171
открываться,169
реализовать,168
считаться,168
приступить,168
спать,166
гулять,166
разыграть,166
оживать,165
снять,164
стоять,164
искать,164
творить,164
объявлять,164
существовать,163
принести,162
дарить,162
отправить,162
понимать,161
приобщиться,161
вручить,160
отражать,160
сложиться,159
развивать,158
распахнуть,157
отвечать,157
наградить,157
сопровождать,156
произойти,155
разделить,154
курсировать,153
планироваться,152
следовать,152
носить,152
удивить,151
порадовать,151
воспользоваться,149
продолжиться,149
задать,149
обнаружить,148
строить,148
пить,148
говориться,147
меняться,147
использоваться,147
брать,144
возникнуть,144
скрыть,144
